DEBUG;Read;Frequency test;Runs test;Accuracy;Onset time;Timestamp
False;1;0.6599618049908139;0.5549795791389893;2;0.0;2018-11-03 12:35:07.614322
False;2;0.7170185746915014;0.8385651874016644;2;15.01207423210144;2018-11-03 12:35:22.610726
False;3;0.9587331805329755;0.07012685821111475;2;30.008524656295776;2018-11-03 12:35:37.607176
False;4;0.08793560714236243;0.5157530476647709;2;45.00495171546936;2018-11-03 12:35:52.603603
False;5;0.9793665879574962;0.03182393269110454;1;60.00140571594238;2018-11-03 12:36:07.600058
False;6;0.7959872153886274;0.02299250352498178;1;75.01349115371704;2018-11-03 12:36:22.612143
False;7;0.1626733150719467;0.07856448883591281;2;90.00996804237366;2018-11-03 12:36:37.608620
False;8;0.9176315934670087;0.13365545384290037;2;105.00641775131226;2018-11-03 12:36:52.605070
False;9;0.12034166163731591;0.6115143515479275;2;120.00284576416016;2018-11-03 12:37:07.601498
False;10;0.37905584597326714;0.3352442279731589;2;135.0149486064911;2018-11-03 12:37:22.613601
False;11;0.0019187660162923708;0.14776228107908443;1;150.01140332221985;2018-11-03 12:37:37.610055
False;12;0.6791156892928161;0.6384572258555246;2;165.0078320503235;2018-11-03 12:37:52.606484
False;13;0.12083865311418167;0.3302924773814422;2;180.00431156158447;2018-11-03 12:38:07.602963
False;14;0.2889698335061084;0.055044485790802435;2;195.0007667541504;2018-11-03 12:38:22.599419
False;15;0.876639915471876;0.5688068052508116;2;210.01284265518188;2018-11-03 12:38:37.611494
False;16;0.422695312778983;0.3050216032725773;2;225.00929641723633;2018-11-03 12:38:52.607948
False;17;0.43796657516602067;0.10540916664169116;2;240.00575137138367;2018-11-03 12:39:07.604403
False;18;0.3128147020393691;0.6789600855441151;2;255.002206325531;2018-11-03 12:39:22.600858
False;19;0.46911315243545415;0.12398686954709259;2;270.0142834186554;2018-11-03 12:39:37.612935
False;20;0.836138661741041;0.35253764318771097;2;285.0107364654541;2018-11-03 12:39:52.609388
